First Author,Year,Country,Design,Outcome,Population - Primary,Population - Original,Risk Factor - Category,Risk Factor - Primary,Risk Factor - Secondary,Risk Factor - Original,Comparator,Estimator,Size Effect,Confidence Interval,P Value,Paper Title,Paper DOI,Paper PMID,Paper Web Link
Conway,2017,Denmark,Cohort,Actual SA,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Non-fatal suicidal behaviors,SA,SA,Actual attempt (modeled with SI with intent) - SI severity and actual attempts at baseline mutually adjusted,No,OR,11.97,"CI95 [1.72, 83.21]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222319,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI severity,"Suicidal ideation severity (continuous score, 0â€“5) - SI severity and actual attempts at baseline mutually adjusted",,OR,1.75,"CI95 [1.22, 2.51]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222320,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI with intent,SI with intent (score: 4â€“5) - SI severity and actual attempts at baseline mutually adjusted,"SI without intent (score: 0â€“3)
",OR,9.55,"CI95 [2.27, 40.18]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222321,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI severity,"Suicidal ideation severity (continuous score, 0â€“5) - SI severity and any type of suicidal behavior at baseline mutually adjusted",,OR,1.66,"CI95 [1.13, 2.44]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222322,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI with intent,SI with intent (score: 4â€“5) - SI severity and any type of suicidal behavior at baseline mutually adjusted,"SI without intent (score: 0â€“3)
",OR,7.76,"CI95 [1.66, 36.23]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222323,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Actual SA,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,High risk of suicide,Lack of SA deterents,Deterrents - Adjusted for actual attempts at baseline,,OR,2.73,"CI95 [1.13, 6.58]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222324,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Actual SA,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Duration of SI,Duration of SI - Adjusted for any type of suicidal behaviour at baseline,,OR,2.6,"CI95 [1.02, 6.62]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222325,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI intensity,"Suicidal ideation intensity (composite score, cont., 5â€“25) - Adjusted for actual attempts at baseline",,OR,1.29,"CI95 [1.07, 1.56]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222326,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Frequency of SI,Frequency of SI - Adjusted for actual attempts at baseline,,OR,2.36,"CI95 [1.34, 4.17]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222327,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Duration of SI,Duration of SI - Adjusted for actual attempts at baseline,,OR,2.37,"CI95 [1.16, 4.82]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222328,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,High risk of suicide,Lack of SA deterents,Deterrents - Adjusted for actual attempts at baseline,,OR,2.12,"CI95 [1.18, 3.82]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222329,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,SI intensity,"Suicidal ideation intensity (composite score, cont., 5â€“25) - Adjusted for any type of suicidal behavior at baseline",,OR,1.27,"CI95 [1.04, 1.54]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222330,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Frequency of SI,Frequency of SI - Adjusted for any type of suicidal behavior at baseline,,OR,2.24,"CI95 [1.25, 4.02]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222331,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Duration of SI,Duration of SI - Adjusted for any type of suicidal behavior at baseline,,OR,2.18,"CI95 [1.08, 4.38]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222332,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Conway,2017,Denmark,Cohort,Any type of suicidal behaviour ,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adolescents with suicidal behavior or severe suicide thoughts,Suicidal ideation and cognitions,SI,Lack of SI deterrents,Deterrents - Adjusted for any type of suicidal behavior at baseline,,OR,1.92,"CI95 [1.07, 3.45]",,Predictive Validity of the Columbia-Suicide Severity Rating Scale for Short-Term Suicidal Behavior: A Danish Study of Adolescents at a High Risk of Suicide,10.1080/13811118.2016.1222333,27602917,https://pubmed.ncbi.nlm.nih.gov/27602917/
Cook,2016,Spain,Cohort,SI,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adults discharged after DSH or after a short hospitalization,Age,Age (continuous),Age (continuous),Age (continuous),,OR,1.02,"CI95 [1.01, 1.03]",,Novel Use of Natural Language Processing (NLP) to Predict Suicidal Ideation and Psychiatric Symptoms in a Text-Based Mental Health Intervention in Madrid,10.1155/2016/8708434,27752278,https://pubmed.ncbi.nlm.nih.gov/27752278/
Cook,2016,Spain,Cohort,SI,Individuals with a history of non-fatal suicidal behaviors and NSSI,Adults discharged after DSH or after a short hospitalization,Physical Health Conditions,Sleep problems,Average nightly sleep,Average nightly sleep (hours),,OR,1.11,"CI95 [1.01, 1.22]",,Novel Use of Natural Language Processing (NLP) to Predict Suicidal Ideation and Psychiatric Symptoms in a Text-Based Mental Health Intervention in Madrid,10.1155/2016/8708435,27752278,https://pubmed.ncbi.nlm.nih.gov/27752278/
Coryell,2016,USA,Cohort,SC,Individuals suffering from bipolar disorder,Patients with bipolar I disorder,Realtionship Status ,Separated/divorced/widowed ,Separated/divorced,Divorced or separated,Died by SC vs. survived,OR,13.3,"CI95 [1.6, 111.1]",,Risk factors for suicide in bipolar I disorder in two prospectively studied cohorts,10.1016/j.jad.2015.10.007,26476155,https://pubmed.ncbi.nlm.nih.gov/26476155/
Coryell,2016,USA,Cohort,SC,Individuals suffering from bipolar disorder,Patients with bipolar I disorder,Gender,Man/Male/Boy,Male,Male sex,Died by SC vs. survived,OR,6.1,"CI95 [1.3, 28.5]",,Risk factors for suicide in bipolar I disorder in two prospectively studied cohorts,10.1016/j.jad.2015.10.008,26476155,https://pubmed.ncbi.nlm.nih.gov/26476155/
Coryell,2016,USA,Cohort,SC,Individuals suffering from bipolar disorder,Patients with bipolar I disorder,,,,Hopelessness,Died by SC vs. survived,OR,4.1,"CI95 [1.2, 14.1]",,Risk factors for suicide in bipolar I disorder in two prospectively studied cohorts,10.1016/j.jad.2015.10.009,26476155,https://pubmed.ncbi.nlm.nih.gov/26476155/
Coryell,2016,USA,Cohort,SC,Individuals suffering from bipolar disorder,Patients with bipolar I disorder,Non-fatal suicidal behaviors,SA,Any SA,Any SA,Died by SC vs. survived,OR,2.3,"CI95 [1.2, 4.4]",,Risk factors for suicide in bipolar I disorder in two prospectively studied cohorts,10.1016/j.jad.2015.10.010,26476155,https://pubmed.ncbi.nlm.nih.gov/26476155/
Crandall,2018,USA,Cohort,SI,"Children, adolescents and young adults",Late adolescence and young adulthood,Psychiatric and Mental Health Conditions,Depressive symptoms,Depressive symptoms,Wave 3 depressive symptoms --> locus of control --> Wave 4 SI (indirect effect),,Beta,0.06,,< 0.001,"The longitudinal association between cognitive control capacities, suicidality, and depression during late adolescence and young adulthood",10.1016/j.adolescence.2018.03.009,29602159,https://pubmed.ncbi.nlm.nih.gov/29602159/
Crandall,2018,USA,Cohort,SI,"Children, adolescents and young adults",Late adolescence and young adulthood,Personality and Psychological Traits,Psychological characteristics,Verbal ability --> working memory --> locus of control --> Wave 4 SI (indirect effect),Verbal ability --> working memory --> locus of control --> Wave 4 SI (indirect effect),,Beta,-0.01,,< 0.001,"The longitudinal association between cognitive control capacities, suicidality, and depression during late adolescence and young adulthood",10.1016/j.adolescence.2018.03.010,29602159,https://pubmed.ncbi.nlm.nih.gov/29602159/
Crandall,2018,USA,Cohort,SA,"Children, adolescents and young adults",Late adolescence and young adulthood,Psychiatric and Mental Health Conditions,Depressive symptoms,Depressive symptoms,Wave 3 depressive symptoms --> locus of control --> Wave 4 SA (indirect effect),,Beta,0.04,,< 0.05,"The longitudinal association between cognitive control capacities, suicidality, and depression during late adolescence and young adulthood",10.1016/j.adolescence.2018.03.011,29602159,https://pubmed.ncbi.nlm.nih.gov/29602159/
Crandall,2018,USA,Cohort,SA,"Children, adolescents and young adults",Late adolescence and young adulthood,Personality and Psychological Traits,Psychological characteristics,Verbal ability --> working memory --> locus of control --> Wave 4 SA (indirect effect),Verbal ability --> working memory --> locus of control --> Wave 4 SA (indirect effect),,Beta,-0.01,,< 0.05,"The longitudinal association between cognitive control capacities, suicidality, and depression during late adolescence and young adulthood",10.1016/j.adolescence.2018.03.012,29602159,https://pubmed.ncbi.nlm.nih.gov/29602159/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Realtionship Status ,Single/Unmarried,Unmarried,Unmarried,Married/      cohabitating,HR,1.59,"CI95 [1.44, 1.75]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Realtionship Status ,Single/Unmarried,Never married,Never married,Married/      cohabitating,HR,1.65,"CI95 [1.45, 1.87]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Realtionship Status ,Separated/divorced/widowed ,Divorced,Divorced,Married/      cohabitating,HR,1.7,"CI95 [1.50, 1.92]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Realtionship Status ,Separated/divorced/widowed ,Widowed,Widowed,Married/      cohabitating,HR,1.29,"CI95 [1.08, 1.53]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Education,High school,Practical or some theoretical high school (10-11 years),Education level: Practical or some theoretical HS (10-11 years),Theoretical HS and/or college (Â³ 12 years),HR,1.13,"CI95 [1.01, 1.27]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Employment,Unemployment,Non-employed,Non-employed,Employed,HR,1.97,"CI95 [1.76, 2.20]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Age,Age: < 25 years ,Age: 18-24 years,Age: 18-24 years,25-34 years,HR,1.18,"CI95 [1.01, 1.37]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Realtionship Status ,Single/Unmarried,Unmarried,Unmarried,Married/      cohabitating,HR,1.75,"CI95 [1.64, 1.86]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Realtionship Status ,Single/Unmarried,Never married,Never married,Married/      cohabitating,HR,1.8,"CI95 [1.67, 1.94]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Realtionship Status ,Separated/divorced/widowed ,Divorced,Divorced,Married/      cohabitating,HR,1.75,"CI95 [1.61, 1.90]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Realtionship Status ,Separated/divorced/widowed ,Widowed,Widowed,Married/      cohabitating,HR,1.55,"CI95 [1.34, 1.80]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Race/Ethnicity/Language,Other Race/Ethnicity/Language,Country of birth: Other Nordic countries,Country of birth: Other Nordic countries,Sweden,HR,1.21,"CI95 [1.06, 1.39]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Education,High school,Compulsory high school or less (? 9 years),Education level: Compulsory HS or less (? 9 years),Theoretical HS and/or college (Â³ 12 years),HR,1.46,"CI95 [1.35, 1.57]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Education,High school,Practical or some theoretical high school,Education level: Practical or some theoretical HS ,Theoretical HS and/or college (Â³ 12 years),HR,1.32,"CI95 [1.23, 1.42]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Employment,Unemployment,Non-employed,Non-employed,Employed,HR,1.66,"CI95 [1.54, 1.78]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Income and Socioeconomic Status,Middle income or socioeconomic position,Income: Second quartile,Income: Second quartile,Highest quartile,HR,1.11,"CI95 [1.02, 1.20]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Income and Socioeconomic Status,Low income or socioeconomic position,Income: Lowest quartile,Income: Lowest quartile,Highest quartile,HR,1.15,"CI95 [1.05, 1.26]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Living Condition,Geographic Area,Small towns/rural,Urban/rural status: Small towns/rural,Large cities,HR,1.14,"CI95 [1.06, 1.22]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Mental health disorders (unspecified),Any psychiatric disorders,Any psychiatric disorders,No psychiatric disorder,HR,20.91,"CI95 [18.75, 23.33]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Substance Use and Addictions,Alcohol use and disorder,Alcohol use,Alcohol use,,HR,4.21,"CI95 [3.60, 4.93]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Substance Use and Addictions,Other substance use,Other substance use,Other substance use,,HR,7.63,"CI95 [6.53, 8.91]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Psychosis diagnosis,Schizophrenia,Schizophrenia,,HR,5.16,"CI95 [4.04, 6.58]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Bipolar disorder,Bipolar disorder,Bipolar disorder,,HR,5.01,"CI95 [4.21, 5.97]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Characterized depressive disorder,Depression,Depression,,HR,19.28,"CI95 [17.32, 21.47]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Anxiety disorders,Anxiety disorders,Anxiety disorders,,HR,3.99,"CI95 [3.49, 4.56]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Psychiatric and Mental Health Conditions,Personality disorder,Personality disorder,Personality disorder,,HR,4.01,"CI95 [3.37, 4.75]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Mental health disorders (unspecified),Any psychiatric disorders,Any psychiatric disorders,No psychiatric disorder,HR,12.19,"CI95 [11.31, 13.13]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Substance Use and Addictions,Alcohol use and disorder,Alcohol use,Alcohol use,,HR,4.15,"CI95 [3.79, 4.55]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Substance Use and Addictions,Other substance use,Other substance use,Other substance use,,HR,4.42,"CI95 [3.95, 4.95]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Psychosis diagnosis,Schizophrenia,Schizophrenia,,HR,3.99,"CI95 [3.39, 4.70]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Bipolar disorder,Bipolar disorder,Bipolar disorder,,HR,3.87,"CI95 [3.30, 4.54]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Characterized depressive disorder,Depression,Depression,,HR,15.54,"CI95 [14.37, 16.80]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Anxiety disorders,Anxiety disorders,Anxiety disorders,,HR,2.83,"CI95 [2.53, 3.16]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Psychiatric and Mental Health Conditions,Personality disorder,Personality disorder,Personality disorder,,HR,3.41,"CI95 [2.95, 3.94]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Cancer,Unspecified cancer ,Unspecified cancer ,Cancer,,HR,1.68,"CI95 [1.44, 1.96]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Physical Health Conditions,Neurological condition,Stroke,Stroke,,HR,1.42,"CI95 [1.08, 1.86]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Physical Health Conditions,Respiratory condition,COPD,COPD,,HR,2.18,"CI95 [1.76, 2.72]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Physical Health Conditions,Respiratory condition,Asthma,Asthma,,HR,1.71,"CI95 [1.35, 2.17]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Females,Adult women,Physical Health Conditions,Neurological condition,Spine disorders,Spine disorders,,HR,2.11,"CI95 [1.82, 2.44]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Cancer,Unspecified cancer ,Unspecified cancer ,Cancer,,HR,1.6,"CI95 [1.44, 1.78]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Physical Health Conditions,Endocrine and metabolic condition,Diabetes,Diabetes mellitus,,HR,1.37,"CI95 [1.22, 1.54]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
Crump,2014,Sweden,Cohort,SC,Males,Adult men,Physical Health Conditions,Cardiovascular condition,Ischemic heart disease,Ischemic heart disease,,HR,1.23,"CI95 [1.10, 1.38]",,"Sociodemographic, psychiatric and somatic risk factors for suicide: a Swedish national cohort study",10.1017/S0033291713000810,23611178,https://pubmed.ncbi.nlm.nih.gov/23611178/
